ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P15YM_AN,GRAPROES,Mun,Loc,Ageb,Manza,Key
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,1,7,9.8,079,0001,0025,001,3107900010025001
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,2,6,8.04,079,0001,0025,002,3107900010025002
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,3,4,10.09,079,0001,0025,003,3107900010025003
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,4,7,10.19,079,0001,0025,004,3107900010025004
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,5,,9.76,079,0001,0025,005,3107900010025005
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,6,4,8.43,079,0001,0025,006,3107900010025006
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,7,,9.14,079,0001,0025,007,3107900010025007
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,8,,10.05,079,0001,0025,008,3107900010025008
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,9,3,10.13,079,0001,0025,009,3107900010025009
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,10,8,9.84,079,0001,0025,010,3107900010025010
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,11,3,8.7,079,0001,0025,011,3107900010025011
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,12,6,10.23,079,0001,0025,012,3107900010025012
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,13,4,9.5,079,0001,0025,013,3107900010025013
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,14,8,8.68,079,0001,0025,014,3107900010025014
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,15,,8.47,079,0001,0025,015,3107900010025015
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,16,5,8.96,079,0001,0025,016,3107900010025016
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,17,5,6.82,079,0001,0025,017,3107900010025017
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,18,,10.12,079,0001,0025,018,3107900010025018
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,19,4,9.69,079,0001,0025,019,3107900010025019
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,20,4,10.19,079,0001,0025,020,3107900010025020
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,21,,8.34,079,0001,0025,021,3107900010025021
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,22,,10.54,079,0001,0025,022,3107900010025022
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,23,0,11.21,079,0001,0025,023,3107900010025023
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,24,3,8.74,079,0001,0025,024,3107900010025024
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,25,4,9.47,079,0001,0025,025,3107900010025025
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,26,8,8.67,079,0001,0025,026,3107900010025026
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,27,3,9.87,079,0001,0025,027,3107900010025027
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,28,,8.79,079,0001,0025,028,3107900010025028
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,29,5,7.44,079,0001,0025,029,3107900010025029
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,30,3,8.31,079,0001,0025,030,3107900010025030
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,31,7,8.05,079,0001,0025,031,3107900010025031
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,32,8,8.54,079,0001,0025,032,3107900010025032
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,35,,8.53,079,0001,0025,035,3107900010025035
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,36,8,6.5,079,0001,0025,036,3107900010025036
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,37,9,6.04,079,0001,0025,037,3107900010025037
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,38,7,8.48,079,0001,0025,038,3107900010025038
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,39,,8.46,079,0001,0025,039,3107900010025039
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,40,6,8,079,0001,0025,040,3107900010025040
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,41,,8.32,079,0001,0025,041,3107900010025041
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,42,6,7.74,079,0001,0025,042,3107900010025042
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,43,7,9.95,079,0001,0025,043,3107900010025043
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,44,18,7.4,079,0001,0025,044,3107900010025044
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,47,,,079,0001,0025,047,3107900010025047
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,48,3,8,079,0001,0025,048,3107900010025048
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,49,6,7.7,079,0001,0025,049,3107900010025049
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,53,,,079,0001,0025,053,3107900010025053
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,54,0,0,079,0001,0025,054,3107900010025054
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,56,0,0,079,0001,0025,056,3107900010025056
